Gaddiel Morales
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,25565


Experiment #:,0
Rule:,0112132424441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
3,1,,0.768,0.6923076923076923,1.9293124207115386,2.1619781796795534,0.913845,
4,6,,0.616,0.6153846153846154,1.9565867912189157,2.133937566094917,0.710575,
5,10,,0.5680000000000001,0.5384615384615384,1.8949445904919902,1.9877733714879842,0.7135750000000001,
6,7,,0.42400000000000004,0.46153846153846156,1.698969083415929,1.8810947601100745,0.536565,
7,12,,0.41600000000000004,0.3846153846153846,1.6379883418607708,1.5465935642949382,0.5417799999999999,
8,11,,0.392,0.3076923076923077,1.5857482848076718,1.3520301017579528,0.541085,
9,4,,0.272,0.23076923076923073,1.1156405863897432,0.9912642605354287,0.35023000000000004,
10,5,,0.128,0.15384615384615385,0.5519275534566073,0.6193821946787638,0.350905,
11,3,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.348495,
12,2,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,11
Rule:,0434332131311
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8199460860398995,2.0381596816459533,1.0,
1,5,,0.848,0.8461538461538461,2.1977499358349,2.161978179679554,0.818615,
2,6,,0.696,0.7692307692307692,1.8937499358349,1.95006375643621,0.75218,
3,8,,0.5760000000000001,0.6923076923076923,1.8452445807733078,1.95006375643621,0.730595,
4,4,,0.45599999999999996,0.6153846153846154,1.645202368265998,1.8843135277997989,0.961295,
5,2,,0.40800000000000003,0.5384615384615384,1.5008639614884598,1.7381493331928664,0.07143500000000003,
6,11,,0.384,0.46153846153846156,1.469468254003142,1.6691803368667308,0.071415,
7,12,,0.376,0.3846153846153846,1.4579218668298517,1.5465935642949382,0.0016249999999999876,
8,1,,0.352,0.3076923076923077,1.3908815326263424,1.3520301017579528,0.001395000000000035,
9,9,,0.272,0.23076923076923073,1.2378081387641386,1.1451104143815827,0.001314999999999955,
10,7,,0.128,0.15384615384615385,0.6740951058310027,0.7732283485249176,0.0012550000000000061,
11,3,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0010499999999999954,
12,10,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,12
Rule:,0343314211123
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9710858699175522,2.161978179679554,0.999995,
1,5,,0.848,0.8461538461538461,2.2977264617913433,2.2577560641285177,0.99912,
2,7,,0.704,0.7692307692307692,2.101283474618123,2.1996877947313282,0.968695,
3,3,,0.624,0.6923076923076923,2.0361228714396726,2.199687794731328,0.14076500000000003,
4,2,,0.5760000000000001,0.6153846153846154,1.9790962628471878,2.075869296697727,0.04756000000000005,
5,1,,0.552,0.5384615384615384,1.9397245125436027,1.9877733714879842,0.03823500000000002,
6,6,,0.4,0.46153846153846156,1.4498132853713055,1.6691803368667308,0.0014849999999999586,
7,12,,0.392,0.3846153846153846,1.431537700022112,1.4885252948977485,0.0014849999999999586,
8,11,,0.368,0.3076923076923077,1.2843272953651907,1.1401156785146092,0.0014650000000000496,
9,9,,0.28800000000000003,0.23076923076923073,1.148325883314158,0.9912642605354288,0.0013050000000000006,
10,10,,0.24,0.15384615384615385,1.0350402793845221,0.7732283485249176,0.0012600000000000389,
11,4,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0010949999999999571,
12,8,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,13
Rule:,0321331223341
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7296630266670192,2.0758692966977272,0.999985,
1,12,,0.984,0.8461538461538461,1.7642651787434667,2.133937566094917,0.999985,
2,7,,0.84,0.7692307692307692,1.9998928488196785,2.1339375660949167,0.806495,
3,2,,0.792,0.6923076923076923,1.9827923381821186,2.038159681645953,0.76581,
4,1,,0.768,0.6153846153846154,2.0038488725394017,2.038159681645953,0.10314999999999996,
5,9,,0.688,0.5384615384615384,2.0337757377321175,1.9877733714879842,0.064365,
6,8,,0.5680000000000001,0.46153846153846156,1.6655367005555426,1.6691803368667308,0.12368500000000004,
7,6,,0.41600000000000004,0.3846153846153846,1.3980879023828388,1.4885252948977485,0.002454999999999985,
8,3,,0.33599999999999997,0.3076923076923077,1.0456735099453998,1.1401156785146092,0.0013900000000000023,
9,11,,0.31200000000000006,0.23076923076923073,0.8954686411420223,0.7793498372920851,0.0013450000000000406,
10,10,,0.264,0.15384615384615385,0.832722637493494,0.6193821946787638,0.0013199999999999878,
11,5,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0011499999999999844,
12,4,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,14
Rule:,0142432113343
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.033282248494052,2.199687794731328,1.0,
1,6,,0.84,0.8461538461538461,2.2030710965906817,2.199687794731328,0.872845,
2,3,,0.76,0.7692307692307692,1.9826800964176041,1.9877733714879844,0.746685,
3,10,,0.712,0.6923076923076923,1.9805430928232566,1.9877733714879842,0.7182850000000001,
4,1,,0.688,0.6153846153846154,1.9776543538583753,1.9220231428515733,0.63097,
5,7,,0.544,0.5384615384615384,1.829795175721884,1.7758589482446405,0.54338,
6,9,,0.46399999999999997,0.46153846153846156,1.7195358249218118,1.6691803368667308,0.513605,
7,5,,0.31999999999999995,0.3846153846153846,1.2582587764769655,1.4885252948977485,0.4145,
8,2,,0.272,0.3076923076923077,1.158813714916721,1.3520301017579528,0.32896499999999995,
9,12,,0.264,0.23076923076923073,1.0951466133234102,0.9912642605354287,0.23397999999999997,
10,8,,0.14400000000000002,0.15384615384615385,0.5946193440950123,0.6193821946787638,0.35157499999999997,
11,4,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.001040000000000041,
12,11,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,15
Rule:,0321143144311
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.809698098238255,2.0758692966977272,1.0,
1,4,,0.872,0.8461538461538461,2.1062235064690467,2.199687794731328,0.99981,
2,5,,0.728,0.7692307692307692,2.1722974513115307,2.199687794731328,0.67804,
3,10,,0.6799999999999999,0.6923076923076923,2.145057891428406,2.161978179679554,0.6580900000000001,
4,7,,0.536,0.6153846153846154,1.9835479487827172,2.1339375660949167,0.53752,
5,12,,0.528,0.5384615384615384,1.9666216318068996,2.045841640885174,0.5321899999999999,
6,11,,0.504,0.46153846153846156,1.9090392642494831,1.8810947601100745,0.50698,
7,1,,0.48,0.3846153846153846,1.8698643542633162,1.7004397181410922,0.41146499999999997,
8,8,,0.36,0.3076923076923077,1.6184786266741567,1.5058762556041068,0.41388,
9,3,,0.28,0.23076923076923073,1.2561326256356917,1.1451104143815827,0.44742499999999996,
10,2,,0.23199999999999998,0.15384615384615385,0.997093854473825,0.7732283485249176,0.03117000000000003,
11,9,,0.15200000000000002,0.07692307692307687,0.6148227571490692,0.39124356362925566,0.031079999999999997,
12,6,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,16
Rule:,0343412332124
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9879407198144798,2.199687794731328,1.0,
1,5,,0.848,0.8461538461538461,2.098490337874902,2.199687794731328,0.999215,
2,6,,0.696,0.7692307692307692,2.043959625144803,2.199687794731328,0.6953400000000001,
3,12,,0.688,0.6923076923076923,2.037234734799964,2.161978179679554,0.6728799999999999,
4,7,,0.544,0.6153846153846154,1.9823056779139405,2.133937566094917,0.6008549999999999,
5,10,,0.496,0.5384615384615384,1.7536326429637206,1.8339272176418302,0.524695,
6,2,,0.44799999999999995,0.46153846153846156,1.6633586798199387,1.6691803368667308,0.446655,
7,3,,0.368,0.3846153846153846,1.5276530494467693,1.5465935642949382,0.25909499999999996,
