,Unnamed: 0,iteration num,generation,avg fitness,best fitness,best genome,solved,num solutions,diversity,n,p_m,p_c,trn_size
131685,0,4540,25.0,0.8959532393357099,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.9339571260735944,100,0.03,0.0,5
129479,0,4464,23.0,0.9903520591303856,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.3769212002206537,100,0.01,0.5,5
129919,0,4479,28.0,0.9812387342261638,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.250551092777933,100,0.03,0.0,2
129656,0,4470,26.0,0.9638407504335256,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.6435127495535755,100,0.01,0.5,5
129655,0,4470,25.0,0.9525165233248702,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.6835844648844178,100,0.01,0.5,5
129650,0,4470,20.0,0.9776847187431172,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.7039663888908188,100,0.01,0.5,5
129542,0,4466,28.0,0.941352692765723,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.4156167263670527,100,0.01,0.5,5
129541,0,4466,27.0,0.9511421858528106,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.47929239294536,100,0.01,0.5,5
129540,0,4466,26.0,0.970272848358724,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.3349709327783323,100,0.01,0.5,5
129539,0,4466,25.0,0.9590199670261756,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.3193296081758743,100,0.01,0.5,5
129483,0,4464,27.0,0.9321520729058888,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.5109780787590663,100,0.01,0.5,5
129658,0,4470,28.0,0.9814891201511536,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.6074584283842084,100,0.01,0.5,5
96535,0,3328,23.0,0.8545563311702661,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.9593499954103644,75,0.03,0.1,4
102015,0,3517,22.0,0.8929381730385313,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.1199154116072227,75,0.03,0.5,5
92711,0,3196,27.0,0.9355101416345244,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,0.821222067193101,75,0.01,0.5,5
84969,0,2929,28.0,0.943162693747993,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,0.8669067235673146,75,0.01,0.0,4
84968,0,2929,27.0,0.947646174761942,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,0.9965262889927772,75,0.01,0.0,4
84967,0,2929,26.0,0.9782501407733072,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,0.8051851580268152,75,0.01,0.0,4
84964,0,2929,23.0,0.964865622885142,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.4359115257336916,75,0.01,0.0,4
84963,0,2929,22.0,0.9561496043868732,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.3474932712618155,75,0.01,0.0,4
62522,0,2155,27.0,0.8610285038111047,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.3354974682147964,50,0.03,0.3,5
62520,0,2155,25.0,0.8499390616175126,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.085793774999615,50,0.03,0.3,5
59331,0,2045,26.0,0.8565916862118489,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.419271244478688,50,0.03,0.1,4
57879,0,1995,24.0,0.8810515616892843,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.6114765278484129,50,0.03,0.0,5
57878,0,1995,23.0,0.8855403748177886,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.7831748846656934,50,0.03,0.0,5
57592,0,1985,27.0,0.910163256764592,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.1053540622322533,50,0.03,0.0,5
55648,0,1918,26.0,0.9926936445794744,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.0073759414526662,50,0.01,0.5,5
50921,0,1755,26.0,0.9722654069046192,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.3960973632868396,50,0.01,0.1,5
34640,0,1194,14.0,0.7775569354827897,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.6365673030789893,25,0.05,0.3,5
18153,0,625,28.0,0.98075567057641,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.263178399382488,25,0.01,0.5,5
86446,0,2980,26.0,0.9671255260720888,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.790897385394365,75,0.01,0.1,3
91285,0,3147,22.0,0.9521675306913095,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.5557101782131886,75,0.01,0.5,3
145838,0,5028,26.0,0.780778330536849,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,2.85920662344022,100,0.05,0.3,5
91290,0,3147,27.0,0.983125013213112,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.548648911119321,75,0.01,0.5,3
92710,0,3196,26.0,0.9319965833578224,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,0.9456481904710256,75,0.01,0.5,5
91581,0,3157,28.0,0.957764864420598,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.9945247111477695,75,0.01,0.5,3
92361,0,3184,25.0,0.9738984547590722,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.0693220041734868,75,0.01,0.5,5
92359,0,3184,23.0,0.9744651760307116,1.0,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],yes,1.0,1.028009570841771,75,0.01,0.5,5
